Summary,Issue Type,Priority,Description,Sprint,Epic Name,Epic Link,Story Points,Labels
EMBM-26: Bill tab appears when bill is ready,Task,High,"BillScreen: initially shows 'Waiting for bill...' placeholder. When SESSION_CLOSED or bill detected via polling GET /api/sessions/{id}: show bill content. Alternatively, waiter triggers and client receives WebSocket event. Fetch GET /api/billing/sessions/{id}/bill (once bill exists).",Sprint 5 - Mobile Billing,,Mobile - Billing,3,mobile billing
EMBM-27: My bill breakdown card,Task,High,"BillScreen shows: my items (filtered by participantName matching userName), my subtotal, total bill amount. If split exists: show my BillSplit amount due prominently. 'Pay Now' CTA enabled when BillSplit is unpaid.",Sprint 5 - Mobile Billing,,Mobile - Billing,3,mobile billing
EMBM-28: Initiate digital payment flow,Task,High,"'Pay Now' button: POST /api/billing/payments/digital { billId, participantName, amount: split.amount }. Amount is read-only from the split (backend enforces exact match). Navigate to PaymentPendingScreen.",Sprint 5 - Mobile Billing,,Mobile - Billing,4,mobile billing payment
EMBM-29: Payment pending screen,Task,Medium,"PaymentPendingScreen: shows order reference (gatewayRef), amount, instructions. 'Back' disabled. Poll GET /api/billing/payments (or wait for WebSocket SESSION_CLOSED event). In Sprint 6: auto-advance on confirmation event. For now: 'Already Paid? Confirm' CTA.",Sprint 5 - Mobile Billing,,Mobile - Billing,3,mobile billing payment
EMBM-30: Payment confirmed screen,Task,Medium,"PaymentConfirmedScreen: green checkmark animation (react-native-reanimated). Shows amount paid + timestamp. 'View Receipt' scrollable breakdown. 'Done' clears activeSessionId + navigates to Menu tab. Accessible: announce 'Payment successful' via AccessibilityInfo.",Sprint 5 - Mobile Billing,,Mobile - Billing,2,mobile billing payment ux
EMBM-31: Session receipt screen,Task,Medium,"After session closes: show summary of all items ordered by current user, total amount, date/time. Shareable as image (react-native-view-shot → Share sheet). 'Rate your experience' placeholder (future). Tap 'Scan New Table' navigates to Scan tab.",Sprint 5 - Mobile Billing,,Mobile - Billing,2,mobile billing ux
EMBM-32: WebSocket STOMP client hook (useSessionSocket),Task,High,"Create src/hooks/useSessionSocket.ts. Connect using @stomp/stompjs over SockJS. Inject JWT in CONNECT headers from authStore. Takes sessionId param. Returns subscribe helper and connectionState. Auto-reconnect with jitter backoff. Disconnect on component unmount. Works in background (AppState listener keeps alive).",Sprint 6 - Mobile Real-time & Notifications,,Mobile - Real-time & Notifications,5,mobile realtime websocket
EMBM-33: Real-time item status updates,Task,High,"In OrdersScreen and SessionHomeScreen: subscribe to /topic/session/{id}. Handle ITEM_STATUS_UPDATED: update item in TanStack Query cache in-place. Trigger status animation (EMBM-24). Haptic feedback on READY (Haptics.notificationAsync SUCCESS). Log event to console in dev.",Sprint 6 - Mobile Real-time & Notifications,,Mobile - Real-time & Notifications,3,mobile realtime
EMBM-34: SESSION_CLOSED WebSocket handling,Task,High,"On SESSION_CLOSED event: clear activeSessionId from sessionStore. Show modal: 'Your session is complete. Thank you!' with receipt summary. Navigate to PaymentConfirmedScreen or BillScreen. Disable Add-to-Order and Remove buttons retroactively.",Sprint 6 - Mobile Real-time & Notifications,,Mobile - Real-time & Notifications,3,mobile realtime
EMBM-35: expo-notifications setup and push token registration,Task,Medium,"Install expo-notifications. On auth success: request notification permissions (requestPermissionsAsync). Get Expo push token. Send token to backend (POST /api/users/push-token — new endpoint to add). Store token in SecureStore. Handle foreground notifications with custom alert.",Sprint 6 - Mobile Real-time & Notifications,,Mobile - Real-time & Notifications,4,mobile notifications
EMBM-36: Push notification — order is ready,Task,Medium,"When ITEM_STATUS_UPDATED event received with status=READY: if app is backgrounded (AppState.currentState !== 'active'), show local push notification via expo-notifications: 'Your [itemName] is ready! 🍽️'. On tap: open app + navigate to OrdersScreen. Group notifications by session.",Sprint 6 - Mobile Real-time & Notifications,,Mobile - Real-time & Notifications,3,mobile notifications
EMBM-37: In-app notification dot on Orders tab,Task,Low,"Track unread status events in a local counter (Zustand). Increment when ITEM_STATUS_UPDATED received. Show red dot badge on Orders tab icon. Clear badge when user navigates to OrdersScreen. Persist count across tab switches but reset on session end.",Sprint 6 - Mobile Real-time & Notifications,,Mobile - Real-time & Notifications,2,mobile realtime ux
EMBM-38: Push notification — bill ready,Task,Low,"Handle SESSION_CLOSED WebSocket event when app is backgrounded: fire local push notification: 'Your bill is ready. Tap to review.' On tap: open BillScreen. Requires EMBM-35 completed.",Sprint 6 - Mobile Real-time & Notifications,,Mobile - Real-time & Notifications,2,mobile notifications
EMBM-39: Unit tests — auth, session store, order status logic,Task,High,"Jest tests: authStore setAuth/clearAuth with SecureStore mock; sessionStore activeSessionId lifecycle; useDebounce hook timing; orderStatusColor() function (maps status to correct color token); QR parse utility. Aim for 80% coverage on utility modules.",Sprint 7 - Mobile Testing & Release,,Mobile - Testing & Release,3,mobile testing unit
EMBM-40: Component tests — LoginScreen, MenuItemCard, OrderItem,Task,High,"@testing-library/react-native tests: LoginScreen shows errors on empty submit; successful login calls setAuth and navigates; MenuItemCard renders unavailable overlay; OrderItem swipe-delete calls API; status chip updates color on status prop change. Mock Axios with msw.",Sprint 7 - Mobile Testing & Release,,Mobile - Testing & Release,4,mobile testing component
EMBM-41: Maestro E2E — login → scan QR → order → pay,Task,High,"Maestro flow file: launch app; login as customer; tap Scan tab; (inject pre-seeded QR token via deeplink); enter display name → join session; navigate to Menu → add one item; navigate to Orders → verify item shows PENDING; navigate to Bill (simulate waiter bill event); tap Pay → confirm. Run on iOS sim + Android emu in CI.",Sprint 7 - Mobile Testing & Release,,Mobile - Testing & Release,5,mobile testing e2e
EMBM-42: EAS Build configuration,Task,High,"Create eas.json with development (simulator), preview (internal distribution), production (store) profiles. Configure app.config.ts with correct bundleIdentifier (com.vanter.ember) and package (com.vanter.ember). Set EXPO_PUBLIC_API_URL per environment. Add .easignore.",Sprint 7 - Mobile Testing & Release,,Mobile - Testing & Release,3,mobile devops build
EMBM-43: iOS TestFlight build,Task,High,"eas build --platform ios --profile preview. Enroll Apple Developer account. Configure signing (managed credentials). Submit to TestFlight: eas submit --platform ios. Invite internal testers. Fix any provisioning or entitlement errors.",Sprint 7 - Mobile Testing & Release,,Mobile - Testing & Release,3,mobile devops ios
EMBM-44: Android internal track build,Task,High,"eas build --platform android --profile preview. Configure google-services.json for FCM (required by expo-notifications on Android). eas submit --platform android to Google Play internal track. Verify on physical Android device.",Sprint 7 - Mobile Testing & Release,,Mobile - Testing & Release,3,mobile devops android
EMBM-45: Sentry error tracking integration,Task,Medium,"Install @sentry/react-native + expo-sentry. Initialize in App.tsx with DSN from env. Capture unhandled exceptions and promise rejections. Add Sentry.captureException in Axios error interceptor. Wrap app with Sentry.wrap(). Test by triggering a known error in dev build.",Sprint 7 - Mobile Testing & Release,,Mobile - Testing & Release,2,mobile devops observability
EMBM-46: Performance profiling and bundle optimization,Task,Low,"Enable Hermes engine (default in Expo 51). Use React DevTools profiler to identify re-render hotspots. Memo-ize MenuItemCard and OrderItem with React.memo. Lazy-load BillScreen and ScanScreen using React.lazy equivalent (loadable). Check bundle size with expo-bundle-analyzer. Target FlatList render under 16ms per frame.",Sprint 7 - Mobile Testing & Release,,Mobile - Testing & Release,3,mobile devops performance
EMBM-47: App store metadata and screenshots,Task,Low,"Write App Store and Google Play descriptions (English). Create 5 App Store screenshots (6.7-inch iPhone): Menu, Scan QR, Active Order, Bill, Payment. Create 3 Google Play screenshots. Design feature graphic (1024x500). Prepare privacy policy URL (required for permissions: camera, notifications).",Sprint 7 - Mobile Testing & Release,,Mobile - Testing & Release,3,mobile devops store
EMBM-48: GitHub Actions CI for mobile,Task,Medium,"Add .github/workflows/mobile-ci.yml: install deps (npm ci); run Jest unit + component tests; run Maestro E2E on iOS simulator (macos-latest runner). On main branch: trigger EAS build --profile preview for both platforms. Cache expo CLI and node_modules.",Sprint 7 - Mobile Testing & Release,,Mobile - Testing & Release,3,mobile devops ci

